Time,Node,State,Running jobs,Expected jobs
0,CCPU_10522,free,none,none
0,CCPU_10523,free,none,none
0,CCPU_10524,free,none,none
0,CCPU_10525,free,none,none
0,CCPU_10526,free,none,none
0,CCPU_10527,free,none,none
0,CCPU_10528,free,none,none
0,CCPU_10529,free,none,none
0,CCPU_1053,free,none,none
0,CCPU_10530,free,none,none
0,CCPU_10531,free,none,none
0,CCPU_10532,free,none,none
0,CCPU_10533,free,none,none
0,CCPU_10534,free,none,none
0,CCPU_10535,free,none,none
0,CCPU_10536,free,none,none
0,CCPU_10537,free,none,none
0,CCPU_10538,free,none,none
0,CCPU_10539,free,none,none
0,CCPU_1054,free,none,none
0,CCPU_10540,free,none,none
0,CCPU_10541,free,none,none
0,CCPU_10542,free,none,none
0,CCPU_10543,free,none,none
0,CCPU_10544,free,none,none
0,CCPU_10545,free,none,none
0,CCPU_10546,free,none,none
0,CCPU_10547,free,none,none
0,CCPU_10548,free,none,none
0,CCPU_10549,free,none,none
0,CCPU_1055,free,none,none
0,CCPU_10550,free,none,none
0,CCPU_10551,free,none,none
0,CCPU_10552,free,none,none
0,CCPU_10553,free,none,none
0,CCPU_10554,free,none,none
0,CCPU_10555,free,none,none
0,CCPU_10556,free,none,none
0,CCPU_10557,free,none,none
0,CCPU_10558,free,none,none
0,CCPU_10559,free,none,none
0,CCPU_1056,free,none,none
0,CCPU_10560,free,none,none
0,CCPU_10561,free,none,none
0,CCPU_10562,free,none,none
0,CCPU_10563,free,none,none
0,CCPU_10564,free,none,none
0,CCPU_10565,free,none,none
0,CCPU_10566,free,none,none
0,CCPU_10567,free,none,none
0,CCPU_10568,free,none,none
0,CCPU_10569,free,none,none
0,CCPU_1057,free,none,none
0,CCPU_10570,free,none,none
0,CCPU_10571,free,none,none
0,CCPU_10572,free,none,none
0,CCPU_10573,free,none,none
0,CCPU_10574,free,none,none
0,CCPU_10575,free,none,none
0,CCPU_10576,free,none,none
0,CCPU_10577,free,none,none
0,CCPU_10578,free,none,none
0,CCPU_10579,free,none,none
0,CCPU_1058,free,none,none
0,CCPU_10580,free,none,none
0,CCPU_10581,free,none,none
0,CCPU_10582,free,none,none
0,CCPU_10583,free,none,none
0,CCPU_10584,free,none,none
0,CCPU_10585,free,none,none
0,CCPU_10586,free,none,none
0,CCPU_10587,free,none,none
0,CCPU_10588,free,none,none
0,CCPU_10589,free,none,none
0,CCPU_1059,free,none,none
0,CCPU_10590,free,none,none
0,CCPU_10591,free,none,none
0,CCPU_10592,free,none,none
0,CCPU_10593,free,none,none
0,CCPU_10594,free,none,none
0,CCPU_10595,free,none,none
0,CCPU_10596,free,none,none
0,CCPU_10597,free,none,none
0,CCPU_10598,free,none,none
0,CCPU_10599,free,none,none
0,CCPU_106,free,none,none
0,CCPU_1060,free,none,none
0,CCPU_10600,free,none,none
0,CCPU_10601,free,none,none
0,CCPU_10602,free,none,none
0,CCPU_10603,free,none,none
0,CCPU_10604,free,none,none
0,CCPU_10605,free,none,none
0,CCPU_10606,free,none,none
0,CCPU_10607,free,none,none
0,CCPU_10608,free,none,none
0,CCPU_10609,free,none,none
0,CCPU_1061,free,none,none
0,CCPU_10610,free,none,none
0,CCPU_10611,free,none,none
0,CCPU_10612,free,none,none
0,CCPU_10613,free,none,none
0,CCPU_10614,free,none,none
0,CCPU_10615,free,none,none
0,CCPU_10616,free,none,none
0,CCPU_10617,free,none,none
0,CCPU_10618,free,none,none
0,CCPU_10619,free,none,none
0,CCPU_1062,free,none,none
0,CCPU_10620,free,none,none
0,CCPU_10621,free,none,none
0,CCPU_10622,free,none,none
0,CCPU_10623,free,none,none
0,CCPU_10624,free,none,none
0,CCPU_10625,free,none,none
0,CCPU_10626,free,none,none
0,CCPU_10627,free,none,none
0,CCPU_10628,free,none,none
0,CCPU_10629,free,none,none
0,CCPU_1063,free,none,none
0,CCPU_10630,free,none,none
0,CCPU_10631,free,none,none
0,CCPU_10632,free,none,none
0,CCPU_10633,free,none,none
0,CCPU_10634,free,none,none
0,CCPU_10635,free,none,none
0,CCPU_10636,free,none,none
0,CCPU_10637,free,none,none
0,CCPU_10638,free,none,none
0,CCPU_10639,free,none,none
0,CCPU_1064,free,none,none
0,CCPU_10640,free,none,none
0,CCPU_10641,free,none,none
0,CCPU_10642,free,none,none
0,CCPU_10643,free,none,none
0,CCPU_10644,free,none,none
0,CCPU_10645,free,none,none
0,CCPU_10646,free,none,none
0,CCPU_10647,free,none,none
0,CCPU_10648,free,none,none
0,CCPU_10649,free,none,none
0,CCPU_1065,free,none,none
0,CCPU_10650,free,none,none
0,CCPU_10651,free,none,none
0,CCPU_10652,free,none,none
0,CCPU_10653,free,none,none
0,CCPU_10654,free,none,none
0,CCPU_10655,free,none,none
0,CCPU_10656,free,none,none
0,CCPU_10657,free,none,none
0,CCPU_10658,free,none,none
0,CCPU_10659,free,none,none
0,CCPU_1066,free,none,none
0,CCPU_10660,free,none,none
0,CCPU_10661,free,none,none
0,CCPU_10662,free,none,none
0,CCPU_10663,free,none,none
0,CCPU_10664,free,none,none
0,CCPU_10665,free,none,none
0,CCPU_10666,free,none,none
0,CCPU_10667,free,none,none
0,CCPU_10668,free,none,none
0,CCPU_10669,free,none,none
0,CCPU_1067,free,none,none
0,CCPU_10670,free,none,none
0,CCPU_10671,free,none,none
0,CCPU_10672,free,none,none
0,CCPU_10673,free,none,none
0,CCPU_10674,free,none,none
0,CCPU_10675,free,none,none
0,CCPU_10676,free,none,none
0,CCPU_10677,free,none,none
0,CCPU_10678,free,none,none
0,CCPU_10679,free,none,none
0,CCPU_1068,free,none,none
0,CCPU_10680,free,none,none
0,CCPU_10681,free,none,none
0,CCPU_10682,free,none,none
0,CCPU_10683,free,none,none
0,CCPU_10684,free,none,none
0,CCPU_10685,free,none,none
0,CCPU_10686,free,none,none
0,CCPU_10687,free,none,none
0,CCPU_10688,free,none,none
0,CCPU_10689,free,none,none
0,CCPU_1069,free,none,none
0,CCPU_10690,free,none,none
0,CCPU_10691,free,none,none
0,CCPU_10692,free,none,none
0,CCPU_10693,free,none,none
0,CCPU_10694,free,none,none
0,CCPU_10695,free,none,none
0,CCPU_10696,free,none,none
0,CCPU_10697,free,none,none
0,CCPU_10698,free,none,none
0,CCPU_10699,free,none,none
0,CCPU_107,free,none,none
0,CCPU_1070,free,none,none
0,CCPU_10700,free,none,none
0,CCPU_10701,free,none,none
0,CCPU_10702,free,none,none
0,CCPU_10703,free,none,none
0,CCPU_10704,free,none,none
0,CCPU_10705,free,none,none
0,CCPU_10706,free,none,none
0,CCPU_10707,free,none,none
0,CCPU_10708,free,none,none
0,CCPU_10709,free,none,none
0,CCPU_1071,free,none,none
0,CCPU_10710,free,none,none
0,CCPU_10711,free,none,none
0,CCPU_10712,free,none,none
0,CCPU_10713,free,none,none
0,CCPU_10714,free,none,none
0,CCPU_10715,free,none,none
0,CCPU_10716,free,none,none
0,CCPU_10717,free,none,none
0,CCPU_10718,free,none,none
0,CCPU_10719,free,none,none
0,CCPU_1072,free,none,none
0,CCPU_10720,free,none,none
0,CCPU_10721,free,none,none
0,CCPU_10722,free,none,none
0,CCPU_10723,free,none,none
0,CCPU_10724,free,none,none
0,CCPU_10725,free,none,none
0,CCPU_10726,free,none,none
0,CCPU_10727,free,none,none
0,CCPU_10728,free,none,none
0,CCPU_10729,free,none,none
0,CCPU_1073,free,none,none
0,CCPU_10730,free,none,none
0,CCPU_10731,free,none,none
0,CCPU_10732,free,none,none
0,CCPU_10733,free,none,none
0,CCPU_10734,free,none,none
0,CCPU_10735,free,none,none
0,CCPU_10736,free,none,none
0,CCPU_10737,free,none,none
0,CCPU_10738,free,none,none
0,CCPU_10739,free,none,none
0,CCPU_1074,free,none,none
0,CCPU_10740,free,none,none
0,CCPU_10741,free,none,none
0,CCPU_10742,free,none,none
0,CCPU_10743,free,none,none
0,CCPU_10744,free,none,none
0,CCPU_10745,free,none,none
0,CCPU_10746,free,none,none
0,CCPU_10747,free,none,none
0,CCPU_10748,free,none,none
0,CCPU_10749,free,none,none
0,CCPU_1075,free,none,none
0,CCPU_10750,free,none,none
0,CCPU_10751,free,none,none
0,CCPU_10752,free,none,none
0,CCPU_10753,free,none,none
0,CCPU_10754,free,none,none
0,CCPU_10755,free,none,none
0,CCPU_10756,free,none,none
0,CCPU_10757,free,none,none
0,CCPU_10758,free,none,none
0,CCPU_10759,free,none,none
0,CCPU_1076,free,none,none
0,CCPU_10760,free,none,none
0,CCPU_10761,free,none,none
0,CCPU_10762,free,none,none
0,CCPU_10763,free,none,none
0,CCPU_10764,free,none,none
0,CCPU_10765,free,none,none
0,CCPU_10766,free,none,none
0,CCPU_10767,free,none,none
0,CCPU_10768,free,none,none
0,CCPU_10769,free,none,none
0,CCPU_1077,free,none,none
0,CCPU_10770,free,none,none
0,CCPU_10771,free,none,none
0,CCPU_10772,free,none,none
0,CCPU_10773,free,none,none
0,CCPU_10774,free,none,none
0,CCPU_10775,free,none,none
0,CCPU_10776,free,none,none
0,CCPU_10777,free,none,none
0,CCPU_10778,free,none,none
0,CCPU_10779,free,none,none
0,CCPU_1078,free,none,none
0,CCPU_10780,free,none,none
0,CCPU_10781,free,none,none
0,CCPU_10782,free,none,none
