JobID,NCPUS,NNodes,Submit,Start,End,ElapsedRaw,State
5313280,144,4,1704139189,None,1704139210,0,CANCELLED by 10408
5313281,144,4,1704139189,None,1704139210,0,CANCELLED by 10408
5313282,144,4,1704139189,None,1704139210,0,CANCELLED by 10408
5313283,144,4,1704139189,None,1704139210,0,CANCELLED by 10408
5313284,144,4,1704139189,None,1704139210,0,CANCELLED by 10408
5313285,144,4,1704139189,None,1704139210,0,CANCELLED by 10408
5313286,144,4,1704139189,None,1704139210,0,CANCELLED by 10408
5313271,144,4,1704139189,1704139189,1704139210,21,CANCELLED by 10408
5313272,144,4,1704139189,1704139189,1704139210,21,CANCELLED by 10408
5313273,144,4,1704139189,1704139189,1704139210,21,CANCELLED by 10408
5313274,144,4,1704139189,1704139189,1704139210,21,CANCELLED by 10408
5313275,144,4,1704139189,1704139189,1704139210,21,CANCELLED by 10408
5313287,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313288,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313289,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313290,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313291,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313292,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313293,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313294,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313295,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313296,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313297,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313298,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313299,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313300,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313301,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313302,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313303,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313304,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313305,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313306,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313307,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313308,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313309,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313310,144,4,1704139190,None,1704139210,0,CANCELLED by 10408
5313311,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313312,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313313,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313314,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313315,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313316,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313317,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313318,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313319,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313320,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313321,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313322,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313323,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313324,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313325,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313326,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313327,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313328,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313329,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313330,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313331,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313332,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313333,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313334,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313335,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313336,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313337,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313338,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313339,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313340,144,4,1704139191,None,1704139210,0,CANCELLED by 10408
5313341,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313342,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313343,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313344,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313345,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313346,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313347,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313348,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313349,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313350,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313351,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313352,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313353,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
